iter	R2	RMSE
0	0.1505686129	130285632.5
1	0.2785161045	120073092
2	0.3797342432	111332324.4
3	0.4614889556	103736043.7
4	0.5323556165	96669669.71
5	0.5792098347	91699119.14
6	0.6241403643	86665294.59
7	0.6662241508	81669487.1
8	0.7000436155	77421472.76
9	0.7310441188	73311633.45
10	0.7575116605	69610988.86
11	0.7789929132	66456195.25
12	0.7957851026	63881643.91
13	0.8130029838	61129340.7
14	0.8249738793	59140338.63
15	0.8377293846	56944569.63
16	0.845530491	55558915.07
17	0.8554317097	53748815.26
18	0.8662109792	51706198.72
19	0.8737886242	50220568.41
20	0.8801999998	48928373.93
21	0.8866463035	47593781.99
22	0.8921223693	46429934.74
23	0.8964790468	45482727.92
24	0.9014937195	44367436.24
25	0.9057920031	43388662.04
26	0.9092253863	42590680.39
27	0.9124711407	41822309.11
28	0.9143624202	41368003.93
29	0.9173363925	40643355
30	0.9200627004	39967511.62
31	0.9216410124	39570977.78
32	0.92334077	39139439.29
33	0.9254116486	38607161.96
34	0.9268966957	38220897.16
35	0.9284590625	37810262
36	0.9304393195	37283294.77
37	0.9327153068	36668277.7
38	0.9333026439	36507885.76
39	0.9346123745	36147657.32
40	0.9361406572	35722726.26
41	0.9379320278	35218118.62
42	0.9389624095	34924569.72
43	0.9403932836	34512782.34
44	0.9409924579	34338880.76
45	0.9427251294	33830968.58
46	0.9434160582	33626291.44
47	0.9446812897	33248219.77
48	0.9457733114	32918414.97
49	0.9462439393	32775255.9
50	0.9474418512	32408012.94
51	0.9489807749	31930028.22
52	0.9502180268	31540489.31
53	0.9513066254	31193730.11
54	0.9524530448	30824335.93
55	0.9534221491	30508587.19
56	0.9541159775	30280505.13
57	0.955610582	29783250.82
58	0.9559971213	29653292.25
59	0.9569215128	29340167.92
60	0.9575278364	29132956.87
61	0.9581204527	28928996.09
62	0.9585480551	28780930.42
63	0.958844735	28677750
64	0.9592121439	28549454.36
65	0.9594180214	28477311.26
66	0.9607367876	28010785.51
67	0.9618780573	27600686.6
68	0.9621479565	27502808.1
69	0.9629285329	27217752.46
70	0.9634478198	27026450.79
71	0.9646799109	26567046.04
72	0.9654975539	26257738.34
73	0.9660238225	26056713.13
74	0.9669383555	25703638.2
75	0.9677322853	25393144.13
76	0.9683661088	25142512.9
77	0.9693048246	24766659.47
78	0.9701733353	24413762.74
79	0.9706730001	24208405.86
80	0.9715573434	23840614.89
81	0.9722657136	23541865.34
82	0.9729517307	23248884.21
83	0.9735181085	23004186.21
84	0.9740957136	22751927.21
85	0.9744940356	22576324.98
86	0.9750196308	22342501.72
87	0.9754696963	22140317.08
88	0.9759941122	21902377.45
89	0.9764682934	21684983
90	0.9770391278	21420350.08
91	0.977530471	21189922.01
92	0.9780969387	20921112.87
93	0.9785302025	20713159.39
94	0.9789248693	20521897.39
95	0.9793194796	20328863.74
96	0.9796567603	20162409.53
97	0.9799370176	20023044.84
98	0.9803122662	19834910.17
99	0.9807024776	19637362.17
100	0.9809364372	19517959.29
101	0.9813067989	19327434.6
102	0.9815994983	19175522.48
103	0.9817966787	19072502.97
104	0.9820510667	18938766.76
105	0.9824133871	18746641.55
106	0.9826645389	18612301.21
107	0.9828528001	18510961.55
108	0.9830102082	18425802.09
109	0.9832253401	18308772.78
110	0.9835197596	18147388.83
111	0.9836385042	18081892.23
112	0.9838542953	17962255.78
113	0.9840596981	17847633.73
114	0.9842652321	17732196.88
115	0.9845846437	17551294.65
116	0.9848242781	17414341.34
117	0.9849918651	17317920.24
118	0.9853511769	17109359.04
119	0.9855718968	16979972.93
120	0.98589105	16791122.13
121	0.9860731297	16682423.4
122	0.9862933708	16549988.83
123	0.9863853135	16494387.61
124	0.9865766027	16378102.88
125	0.9868074231	16236678.46
126	0.9869900937	16123876.3
127	0.9870815664	16067092.78
128	0.987273466	15947310.32
129	0.9874761513	15819810.6
130	0.9876973772	15679464.53
131	0.9878780256	15563922.31
132	0.9879816448	15497259.01
133	0.9881347149	15398253.39
134	0.988283747	15301244.11
135	0.9883619592	15250086.63
